,id,executedOn,croppableAreaId,croppableAreaName,IsSoilmoi4,PlantHeig3,WaterHeig0,FieldPhot1hldr,FieldPhot2hldr,Soilmoist5hldr,Date,executedOn_time,Photo1_link,Photo2_link
0,21651,2023-07-20T05:32:31.861Z,19178,Field 107,No,72.0,7.0,1695625275440.jpg,1695625315312.jpg,,2023-07-20,05:32:31.861000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/1695625275440.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/1695625315312.jpg
1,29915,2023-07-29T06:51:18.085Z,19156,Field 85,Yes,10.0,,compress1690613515372.jpg,compress1690613531639.jpg,"[{'size': 3484765, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '8a5279a0-2ddc-11ee-b618-17d57b254f70', 'originalFileName': 'compress1690613564582.jpg'}, {'size': 3906752, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '8a52a0b0-2ddc-11ee-bece-7f872d8ff57a', 'originalFileName': 'compress1690613570222.jpg'}]",2023-07-29,06:51:18.085000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690613515372.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690613531639.jpg
2,30501,2023-07-29T06:07:21.363Z,19155,Field 84,Yes,16.0,15.0,compress1690611098743.jpg,compress1690611133245.jpg,"[{'size': 3019479, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'f2c17500-2dd6-11ee-833f-c75919275788', 'originalFileName': 'compress1690611159083.jpg'}, {'size': 3243516, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'f2c1c320-2dd6-11ee-8abb-f3d023d7e7d3', 'originalFileName': 'compress1690611167662.jpg'}]",2023-07-29,06:07:21.363000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690611098743.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690611133245.jpg
3,35227,2023-07-31T06:26:22.748Z,19157,Field 86,Yes,17.0,10.0,compress1690784903392.jpg,compress1690784934896.jpg,"[{'size': 3838556, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'c6ce5080-2f6b-11ee-988e-cf76f9829544', 'originalFileName': 'compress1690785042126.jpg'}]",2023-07-31,06:26:22.748000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690784903392.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690784934896.jpg
4,35229,2023-08-01T06:00:47.503Z,20061,Field 61,Yes,30.0,2.0,compress1690869692694.jpg,compress1690869706360.jpg,"[{'size': 2345634, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '368216d0-3031-11ee-a285-6fafa010cbe6', 'originalFileName': 'compress1690869838895.jpg'}]",2023-08-01,06:00:47.503000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690869692694.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690869706360.jpg
5,36754,2023-08-01T05:47:50.056Z,19160,Field 89,,27.0,10.0,compress1690868889356.jpg,compress1690868914877.jpg,,2023-08-01,05:47:50.056000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690868889356.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690868914877.jpg
6,37251,2023-08-01T05:02:41.89Z,19163,Field 92,Yes,23.0,5.0,compress1690866232219.jpg,compress1690866261318.jpg,"[{'size': 5082668, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '312dedb0-3029-11ee-aba5-7d7ed0105d0c', 'originalFileName': '1690866394194.jpg'}, {'size': 5066714, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '3131be40-3029-11ee-9fb5-61d407521241', 'originalFileName': '1690866394255.jpg'}]",2023-08-01,05:02:41.890000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690866232219.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690866261318.jpg
7,37506,2023-08-01T05:11:25.539Z,20065,Field 65,Yes,18.0,4.0,compress1690866919749.jpg,compress1690866929161.jpg,"[{'size': 2524542, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'd36511c0-302a-11ee-aa3a-374db3ec06e0', 'mobileAPIHldr': 'data.customAttributesEntered.Soilmoist5hldr', 'originalFileName': 'compress1690867092609.jpg'}]",2023-08-01,05:11:25.539000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690866919749.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690866929161.jpg
8,38816,2023-08-02T05:24:36.716Z,19158,Field 87,Yes,18.0,15.0,compress1690953946168.jpg,compress1690953963842.jpg,"[{'size': 3357279, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '20e08590-30f5-11ee-add6-932f706f7c3d', 'originalFileName': 'compress1690953980651.jpg'}, {'size': 3845560, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '20e0aca0-30f5-11ee-ab3e-a38e04507fba', 'originalFileName': 'compress1690953985320.jpg'}]",2023-08-02,05:24:36.716000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690953946168.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690953963842.jpg
9,39051,2023-08-02T03:49:23.857Z,19151,Field 80,Yes,18.0,10.0,compress1690948177713.jpg,compress1690948189883.jpg,"[{'size': 3280093, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'bd46b390-30e7-11ee-b095-2b6425c04876', 'originalFileName': 'compress1690948234701.jpg'}]",2023-08-02,03:49:23.857000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690948177713.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690948189883.jpg
