system:index,Date,DateofSow2,HarvestDa4,LandPrepa3,NurseryBe1,State,areaHa,class,croppableAreaId,imageID,mv,pd,ps,pv,rms,seeding,theta,variety,.geo
S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457_0000000000000000006f,2023-07-24,2023/07/20 12:00:00.000,,2023/07/19 12:00:00.000,2023/07/20 12:00:00.000,UP,0.5477224660928778,2,19192,S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457,32.094858611825195,0.0141865285841274,0.1533012244033993,0.0255498865274544,0.899203084796131,TPR,-0.1559310116774011,CF,"{""type"":""Polygon"",""coordinates"":[[[82.96709990869572,25.98286078903004],[82.96710442040103,25.98283848506595],[82.96715790459332,25.98281622732256],[82.96721138874246,25.98278939312989],[82.96727832589893,25.98276716078872],[82.96733623960966,25.982749335649064],[82.96739866495504,25.982731460466425],[82.96745223094038,25.982709206558095],[82.96750128520446,25.98268691290474],[82.9675591987203,25.982677971296535],[82.96761719421588,25.98266014999391],[82.9676751896607,25.982642328660777],[82.96773310302453,25.98262890027235],[82.96778215708063,25.98264671753795],[82.96780446928143,25.98269580907974],[82.96782678147471,25.982744810877932],[82.96784458200588,25.98279834938635],[82.96786246456233,25.982851891869224],[82.96787583546147,25.982896421255237],[82.96789806560069,25.982945508764445],[82.96791151852267,25.982999015498184],[82.96792931903106,25.983052553956664],[82.96796057244667,25.983101541377298],[82.96798731420266,25.98315506550314],[82.9680051146907,25.983213090615568],[82.96800954430448,25.983257634254723],[82.96796057244667,25.98328441869787],[82.96789806560069,25.983293316726364],[82.96784458200588,25.9833111777743],[82.96778215708063,25.983333450040227],[82.96773310302453,25.983351257025713],[82.96769741986725,25.983355715120005],[82.9676751896607,25.9833468283225],[82.96762613552539,25.983351264953303],[82.96757708135377,25.98336916160608],[82.96751908582306,25.983386982779162],[82.96747446122174,25.983409222332742],[82.96741203594777,25.983427097444103],[82.96736298161764,25.98344050732087],[82.96733623960966,25.983458321339572],[82.96731392725118,25.98342708684562],[82.96728275556131,25.98337361666812],[82.96725601352095,25.98333346279154],[82.96724264249673,25.983284357035007],[82.96722475977299,25.983244274633304],[82.96720244737698,25.983195183118],[82.96718021700434,25.983146185312012],[82.96716233426376,25.983097129523756],[82.96717570530419,25.983056950337772],[82.96715790459332,25.98301238520404],[82.96713116250257,25.98296334763362],[82.96711327974874,25.98290980512788],[82.96709990869572,25.98286078903004]]]}"
S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457_00000000000000000081,2023-07-24,2023/07/19 12:00:00.000,,2023/07/18 12:00:00.000,2023/07/19 12:00:00.000,UP,0.1965547456136673,2,19490,S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457,29.222779369627503,0.0050978327632339,0.4161848783610458,0.0197003842464896,2.7249999880619926,TPR,-0.7641935134173125,CF,"{""type"":""Polygon"",""coordinates"":[[[83.12574135602453,26.00987844668727],[83.12614716713038,26.009713479334476],[83.12635674110702,26.010163818579176],[83.12613374651703,26.010266393393472],[83.12601337003872,26.010056861766337],[83.1258349734905,26.0101014254699],[83.12574135602453,26.00989181879891],[83.12574135602453,26.00987844668727]]]}"
S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457_00000000000000000050,2023-07-24,2023/07/19 12:00:00.000,,2023/07/18 12:00:00.000,2023/07/19 12:00:00.000,UP,0.5612819815369179,2,19487,S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457,16.397638784225073,0.0100966383695976,0.19232694435321,0.0166778034650826,3.341748316903055,TPR,4.098835524370909,CF,"{""type"":""MultiPolygon"",""coordinates"":[[[[83.11818768693716,25.98623634748649],[83.11817426469011,25.986231850085506],[83.11819210645693,25.986214029605335],[83.11818768693716,25.98623634748649]]],[[[83.11818768693716,25.98623634748649],[83.11824113036914,25.98625863354257],[83.11826789299019,25.986231902807816],[83.11829023608743,25.986214027022918],[83.11848191172177,25.9861649782067],[83.11850425474593,25.986164963200906],[83.1189055276129,25.98611591378261],[83.11893228996209,25.98611144160323],[83.11895905230035,25.986102571521535],[83.1189768938531,25.98609363644604],[83.11899923670818,25.986080248155307],[83.11902591717714,25.986071374166652],[83.11904375871165,25.986075812277527],[83.11906610154388,25.986089170369386],[83.11907944176609,25.98610703699058],[83.11910620404413,25.986120425621028],[83.11912404555675,25.986133749268713],[83.1191374676089,25.986156017669735],[83.11915080781654,25.986173884282177],[83.11915530911298,25.986205152753364],[83.1189768938531,25.98652166811614],[83.11895905230035,25.98655295162198],[83.11893679127358,25.98658860245476],[83.1189546328324,25.986655508536256],[83.1189768938531,25.986740216203845],[83.11893679127358,25.986731309395356],[83.1189189497099,25.98674464231153],[83.11889660682739,25.986753542893094],[83.11878963914867,25.98678032080921],[83.11876729622199,25.98678033584419],[83.11874061564755,25.986780324204158],[83.1187093518931,25.986780363968705],[83.11868709078135,25.986784780763063],[83.11864690618174,25.98676698445787],[83.11862464504873,25.98676691360599],[83.11858454225323,25.98676249432727],[83.11855777976174,25.986766966395138],[83.11852209642272,25.986771373429523],[83.11849083256382,25.986775900776106],[83.11845523103092,25.986789286949776],[83.11842396714006,25.986793724525853],[83.11839278507695,25.98680265361782],[83.118366022507,25.986811523522896],[83.11834367943564,25.98681153848328],[83.11817876605376,25.986445944986354],[83.11816984516913,25.98641913361354],[83.11817426469011,25.986392417864003],[83.11816534380488,25.98637897965184],[83.11817426469011,25.98635669625383],[83.11816984516913,25.986338894621703],[83.11817876605376,25.98631661121929],[83.11817876605376,25.986294262768684],[83.11818318557413,25.986267547004935],[83.11818768693716,25.986249720659092],[83.11818768693716,25.98623634748649]]]]}"
S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457_00000000000000000070,2023-07-24,2023/07/18 12:00:00.000,,2023/07/17 12:00:00.000,2023/07/18 12:00:00.000,UP,0.4156780008327574,2,19469,S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457,16.51269895022011,0.0055606809435737,0.1947803102721309,0.0197501276612478,3.1608533669821983,TPR,-0.4246031161772366,CF,"{""type"":""Polygon"",""coordinates"":[[[83.08224286992832,26.086695454922346],[83.08226956537148,26.08668650676398],[83.08243907299322,26.08658840832148],[83.08255944770505,26.086508140943113],[83.08258172109691,26.08647691134106],[83.08259957255993,26.086450134954205],[83.08262184593815,26.086436758299243],[83.08276899744186,26.086222754857733],[83.08301875299485,26.086057716185394],[83.08304102623077,26.08608004541886],[83.08312127532693,26.086463557731125],[83.08309900211823,26.08648133043888],[83.08304102623077,26.086530407140202],[83.08300090164589,26.086557193022127],[83.08297412461334,26.08658390067935],[83.0829518513547,26.08660624872739],[83.08292949620147,26.08663747446748],[83.08291614861551,26.08666419753362],[83.08288494964633,26.0866954480985],[83.08286267635742,26.086717706401338],[83.08283589926846,26.086735532383344],[83.08280912216857,26.0867533583571],[83.08271552506382,26.086815799942162],[83.08268874791482,26.086838111541688],[83.08266197075487,26.086855937469604],[83.0823810965226,26.087007551683772],[83.08236766693734,26.08698968326435],[83.08235431923708,26.0869719084799],[83.08233646770735,26.08694512599626],[83.08232312000074,26.0870743910615],[83.08230969040362,26.087061098010444],[83.08229634269156,26.087034262198497],[83.08228741691941,26.0870075485552],[83.08227406920284,26.086971831135134],[83.08224286992832,26.086695454922346]]]}"
S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457_00000000000000000068,2023-07-24,2023/07/18 12:00:00.000,,2023/07/17 12:00:00.000,2023/07/18 12:00:00.000,UP,0.0492142086009955,2,19470,S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457,33.67816091954023,0.0051230004976567,0.2314859501931858,0.0143190767112905,1.1669539846908086,TPR,25.6377514614456,CF,"{""type"":""Polygon"",""coordinates"":[[[83.07499236226386,26.102770436953403],[83.07500128902818,26.10274816955175],[83.07502356498522,26.102730310427308],[83.07504141850413,26.10271250819398],[83.0750681168766,26.102690196532393],[83.07508597038343,26.10267239428783],[83.07511717306026,26.102609930743238],[83.07513944897799,26.102592071581324],[83.07521086289852,26.102618822247763],[83.07508597038343,26.10307365197541],[83.07508597038343,26.103055890079048],[83.07507704363061,26.10293543431119],[83.07506369444755,26.102908689093287],[83.07504584093469,26.102881907132005],[83.07502798741696,26.102859610497468],[83.07500571146143,26.102828400093212],[83.0749967846977,26.102801687673132],[83.07499236226386,26.102770436953403]]]}"
S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457_00000000000000000066,2023-07-24,2023/07/18 12:00:00.000,,2023/07/17 12:00:00.000,2023/07/18 12:00:00.000,UP,0.3554353216811272,2,19198,S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457,32.4365805168986,0.0096507638079071,0.1958114163450171,0.0343509672035576,1.0676739622299998,TPR,-1.629987940636591,CF,"{""type"":""Polygon"",""coordinates"":[[[82.96211461476281,25.988461401193423],[82.96214144091506,25.988439106377555],[82.96219492911284,25.988421248622792],[82.96225284726604,25.988421283292507],[82.96231084740559,25.988403465423183],[82.96233759144152,25.98839004995006],[82.96236433546666,25.98837223764146],[82.9623465334634,25.98843463249419],[82.96237327748493,25.98842130674694],[82.96240896350913,25.98840348058141],[82.96246245149104,25.98836776619414],[82.96252045144718,25.98835443477692],[82.96255162537716,25.988399021554795],[82.96256950936197,25.988452473622193],[82.96259625329354,25.988501510999104],[82.96261405522974,25.988555048788005],[82.96263636917067,25.98861750987684],[82.96265417109609,25.988670957911715],[82.96267648502351,25.988720049038562],[82.96271217088446,25.988764675669938],[82.96276565862169,25.988849380352796],[82.96281028639396,25.988916246381255],[82.96279240247412,25.9889652672799],[82.96273891475848,25.988996495141436],[82.96270322891192,25.989027691255753],[82.96265417109609,25.989045585086348],[82.9626006832689,25.989063353220715],[82.96254268338296,25.989067890942312],[82.962484765483,25.989076739712093],[82.96243570750549,25.989085660351254],[82.96238221950199,25.989094634750643],[82.96235547548407,25.989094590528982],[82.96233759144152,25.989081248296188],[82.96231978943108,25.989041080496907],[82.96229747538358,25.988996475932144],[82.96227516132856,25.988951871358925],[82.96226178929935,25.988902856123882],[82.96223504523284,25.988853818761047],[82.96221724319484,25.98880028100333],[82.96220387115396,25.988751265741243],[82.96219041707327,25.988697759928836],[82.96216818501934,25.988648672739405],[82.96215481296855,25.988599657450546],[82.96214144091506,25.98855064215311],[82.96212806885887,25.98849705056041],[82.96211461476281,25.988461401193423]]]}"
S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457_00000000000000000061,2023-07-24,2023/07/18 12:00:00.000,,2023/07/17 12:00:00.000,2023/07/18 12:00:00.000,UP,0.4184546001208036,2,19451,S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457,32.044781144781155,0.0121352264085535,0.2794534413953021,0.0366620477342269,1.4199326594469928,TPR,-6.372165748487016,CF,"{""type"":""Polygon"",""coordinates"":[[[82.9646786372128,25.986512806190227],[82.96468757891884,25.98646819527699],[82.96475000675949,25.98645032205781],[82.96481243454133,25.986432538535862],[82.96487035040725,25.986414715144694],[82.96492834825625,25.98639680597808],[82.96498634605449,25.98638347312437],[82.96504426176843,25.98637013625432],[82.96510225946523,25.986352226997507],[82.96516025711126,25.986334407442403],[82.96522268450664,25.986325507186677],[82.9652761702178,25.986329991089494],[82.96529848326246,25.986374595701715],[82.965311854679,25.98642361126763],[82.96532522609284,25.9864771134369],[82.96534302729604,25.98653504830657],[82.96535639870359,25.98658855045462],[82.96536091052762,25.98663318717493],[82.96532522609284,25.98665550106513],[82.965271658388,25.98665989665941],[82.9652137428728,25.986673323328613],[82.96515574527359,25.98668665624942],[82.96509782965708,25.98670008286029],[82.9650398319564,25.986717902328582],[82.96498634605449,25.9867357615989],[82.96498183420498,25.98677583201321],[82.9649952056854,25.98682493725375],[82.96501308901084,25.986807052461124],[82.9650308902979,25.986833850254182],[82.96504426176843,25.986882865751507],[82.96506214508064,25.98693192107145],[82.96508437616386,25.986981008238757],[82.96509782965708,25.98703451429794],[82.96511563092136,25.987092449070968],[82.96513794402007,25.987141540195474],[82.96515574527359,25.987194988347248],[82.96516911671893,25.98724858011019],[82.96519142979962,25.987306464935237],[82.96520480123776,25.98736445354081],[82.9652181726732,25.98741795553947],[82.96518699999744,25.987458076019703],[82.9651290023748,25.987475985144503],[82.96507551654486,25.98749375460951],[82.96501308901084,25.98748937432845],[82.96498634605449,25.98744473398822],[82.96497297457228,25.9873912319891],[82.96495066141802,25.987346627481042],[82.96492834825625,25.98729762610132],[82.96492391843648,25.987239623434895],[82.96491054694167,25.987190607993494],[82.96489266358854,25.987132579509808],[82.96487486226437,25.987083528198305],[82.96485697890162,25.987034472890464],[82.9648436073933,25.986980970812866],[82.96483466570832,25.986931901445725],[82.96481686436856,25.98688733669978],[82.96479455116175,25.986833848634177],[82.96478117964082,25.98678034651822],[82.96476337828669,25.986731295143073],[82.96474549489388,25.986677753167072],[82.96472326369698,25.98662426904651],[82.96470095045865,25.986570780927394],[82.9646786372128,25.986512806190227]],[[82.96498183420498,25.9868650256945],[82.96494171974747,25.986896276791004],[82.96499077587009,25.98683387461532],[82.96498183420498,25.9868650256945]]]}"
S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457_00000000000000000074,2023-07-24,2023/07/17 12:00:00.000,,2023/07/16 12:00:00.000,2023/07/17 12:00:00.000,UP,0.5950334315385579,2,19194,S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457,31.385052034058667,0.0161473046625042,0.202453934916629,0.0258563124303121,1.403926220563017,TPR,0.9939467958760574,CF,"{""type"":""Polygon"",""coordinates"":[[[82.96110686239022,25.97886546936563],[82.96112917683851,25.978829763265775],[82.96118266585309,25.978811904527774],[82.96124066692902,25.97879408567429],[82.9612986679542,25.978780663772216],[82.961352156832,25.978762894686092],[82.96141007572159,25.97874507175528],[82.96147701873771,25.978731635848085],[82.96153050747162,25.978709379956634],[82.96155725182238,25.978740561760915],[82.96157513607547,25.978794105328205],[82.9615885082432,25.978847608986083],[82.9615929382859,25.9788966398424],[82.9615973683283,25.978927813562038],[82.96161525257057,25.97895461627144],[82.96164199688714,25.978954570504268],[82.96169548548792,25.978945684989824],[82.96175348611516,25.978936749610902],[82.96181140465407,25.978918926515362],[82.96186940517988,25.978909991079277],[82.96192740565493,25.978887685193847],[82.96198983609541,25.978869901892708],[82.96203881236565,25.978874346760723],[82.96206563854858,25.97891890288163],[82.96207901061736,25.978968009521328],[82.9620878706369,25.978999219133485],[82.96210575474683,25.979043789189866],[82.96211912680752,25.979092806073204],[82.96213249886551,25.979141912682294],[82.96215481296855,25.97919540230414],[82.96216818501934,25.979253392589012],[82.96217704502698,25.979297972575235],[82.96219041707327,25.97930687820042],[82.9621592429734,25.979311374886745],[82.96210124270121,25.97932470738689],[82.96204332441553,25.979342530557815],[82.96198983609541,25.97935590288734],[82.96193626569475,25.979369271203414],[82.96188277728824,25.97938264348268],[82.96182477677415,25.979400552285963],[82.96177128827769,25.97941392451242],[82.96171779973807,25.97943618039549],[82.96167317123027,25.979458508074238],[82.96162862473021,25.97947635301458],[82.96157513607547,25.979480751733288],[82.96151270524442,25.979503111162114],[82.96144576226432,25.979520943941512],[82.96137890125473,25.97953429396606],[82.96134764473508,25.979498585579254],[82.9613254123985,25.97945407333275],[82.96130752807804,25.979405016573345],[82.96128972579096,25.979360360765842],[82.96127184146087,25.97931130398913],[82.96124960909886,25.97926679170916],[82.96123623686277,25.979217685094603],[82.96121835251827,25.97915974460755],[82.96120498027585,25.979106240998412],[82.96118266585309,25.979057148249833],[82.96116486353247,25.979008095406492],[82.96114706120709,25.978959042554163],[82.96112917683851,25.978914472416868],[82.96110686239022,25.97886546936563]]]}"
S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457_0000000000000000006b,2023-07-24,2023/07/17 12:00:00.000,,2023/07/16 12:00:00.000,2023/07/17 12:00:00.000,UP,0.4383951118353073,2,19193,S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457,22.316178835638464,0.0439233285004499,0.1745331690312103,0.0303688792001974,1.401736883305782,TPR,-9.08011837773823,CF,"{""type"":""Polygon"",""coordinates"":[[[82.96231527740001,25.98210716902544],[82.96260511324395,25.982009092991785],[82.96280134443464,25.982468376150873],[82.96327403607982,25.98287864364126],[82.96272997278953,25.983074822709973],[82.96231527740001,25.98210716902544]]]}"
S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457_00000000000000000065,2023-07-24,2023/07/16 12:00:00.000,,2023/07/15 12:00:00.000,2023/07/16 12:00:00.000,UP,0.217024187466815,2,19459,S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230725T021457,22.142115509409475,0.01169001691102,0.195489420500535,0.0361156973306096,2.7664503771944684,TPR,7.355470464880941,CF,"{""type"":""Polygon"",""coordinates"":[[[83.07260674336989,26.096242388568132],[83.07326668946016,26.09599713122496],[83.0733157469898,26.096104085991637],[83.07331124254371,26.09611750554805],[83.07339150353704,26.09623340357444],[83.07274941284338,26.09650544383978],[83.07260674336989,26.096242388568132]]]}"
